ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,target
-0.012,-0.006500000000000002,0.06475,0.153,0.14225,671,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
0.009500000000000001,0.144,0.097,-0.015500000000000007,-0.01725000000000001,654,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,5
-0.02075,0.1225,0.07100000000000001,0.10949999999999999,0.27175,652,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,6
-0.012750000000000004,0.12525,0.13725,0.24849999999999997,0.3835,696,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4
0.002250000000000002,0.33475,0.19,0.06299999999999999,0.012000000000000004,664,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
0.0015000000000000005,0.009750000000000002,0.043000000000000003,0.044500000000000005,0.053500000000000006,687,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
0.04625,0.1055,0.1,0.04575,0.0020000000000000018,687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
-0.0009999999999999992,0.0635,0.09050000000000001,0.0022500000000000003,-0.0035000000000000014,746,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5
0.30925,0.44125000000000003,0.33475,0.40775,0.32825000000000004,1144,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0.0325,0.06024999999999999,-0.011750000000000003,-0.026250000000000002,-0.03275,684,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
-0.009999999999999998,0.362,0.06475,-0.045000000000000005,-0.04825,654,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
-0.0382,-0.0258,-0.009600000000000001,-0.023750000000000007,-0.0455,606,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,5
0.0012500000000000002,0.0105,0.016,0.001,-0.0032500000000000003,1024,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5
0.004,0.024000000000000004,0.00875,0.004750000000000001,0.016,770,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
0.05625,0.14100000000000001,0.09775,0.11950000000000001,0.04575,711,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0.0005000000000000004,0.03425,0.085,0.13699999999999998,0.2115,644,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,6
-0.0002500000000000002,0.061000000000000006,0.026249999999999996,-0.0285,-0.03200000000000001,638,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,5
-0.0025000000000000022,0.005750000000000002,0.035500000000000004,0.08,0.1525,678,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
-0.004750000000000001,0.034249999999999996,0.142,0.22575000000000003,0.21725000000000003,664,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
0.015499999999999998,0.07225,0.0985,0.017499999999999995,-0.018749999999999996,742,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5
-0.0032500000000000003,0.005750000000000001,0.003999999999999999,0.018000000000000002,0.039,951,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,4
0.009,0.094,0.08575,0.04575,0.029249999999999998,645,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,5
0.03775,0.012000000000000004,0.04925,0.11725000000000002,0.11600000000000002,700,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4
-0.009999999999999998,-0.006499999999999995,0.12725,0.26625,0.2575,615,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,6
0.09925,0.258,0.1044,-0.030000000000000006,-0.024375,723,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3
0.01175,0.0095,0.03375,0.01175,0.043,985,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,2
0.060000000000000005,0.07550000000000001,0.038,0.0405,0.0245,687,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4
-0.0009999999999999992,0.051250000000000004,0.03175,0.0585,0.09525,716,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3
0.0256,0.156,0.10040000000000002,0.12560000000000002,0.023799999999999998,742,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
-0.0015000000000000005,0.031,0.016,-0.00375,-0.0075,835,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,5
-0.004749999999999999,0.022250000000000002,0.047,0.07375,0.08125,826,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
-0.0092,0.015000000000000003,0.0608,0.20739999999999997,0.2152,712,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4
0.0545,0.183,0.04325000000000001,-0.009000000000000008,-0.02099999999999999,626,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3
0.014249999999999995,0.17439999999999997,-0.007400000000000006,-0.0818,-0.04025,605,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,6
0.0115,0.09025,0.168,-0.015625000000000003,-0.01525,713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5
0.059250000000000004,0.1635,0.0655,0.023250000000000007,-0.011250000000000003,698,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3
